T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
18,Southern Africa,2018,Balance imports/exports (millions of US dollars),,,-3059.7533,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,1995,Imports CIF (millions of US dollars),,,19152.9819,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2005,Imports CIF (millions of US dollars),,,44947.8037,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2010,Imports CIF (millions of US dollars),,,83116.3485,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2015,Imports CIF (millions of US dollars),,,85046.5989,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2016,Imports CIF (millions of US dollars),,,81170.6948,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2017,Imports CIF (millions of US dollars),,,83591.1190,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2018,Imports CIF (millions of US dollars),,,88140.9197,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,1995,Exports FOB (millions of US dollars),,,21749.5379,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2005,Exports FOB (millions of US dollars),,,71221.0052,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2010,Exports FOB (millions of US dollars),,,113357.7462,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
11,Western Africa,2015,Exports FOB (millions of US dollars),,,88198.8291,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
